"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1950491";"";"0";"363.84";"0";"2.77";"1.HCl";"COc1cc2c(cc1O)CN1CCc3cc(OC)c(O)cc3[C@@H]1C2.Cl";"EC50";"'='";"56000.0";"nM";"4.25";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1954434";"Antagonist activity at dopamine D2 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1949652";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL131313";"";"0";"486.38";"0";"3.74";"5";"C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccc(O)cc2)C1.CS(=O)(=O)O";"EC50";"'='";"174.0";"nM";"6.76";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL669947";"Dopamine receptor D2 agonist activity was determined for inhibition of the constrictor response to electrical stimulation in an isolated perfused rabbit ear artery preparation";"F";"BAO_0000019";"assay format";"Oryctolagus cuniculus";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123590";"1";"Scientific Literature";"J. Med. Chem.";"1987";"None";""
"CHEMBL3799271";"";"0";"189.22";"0";"0.21";"12a";"N[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1";"EC50";"'='";"697.0";"nM";"6.16";"";"";"UO_0000065";"32.54";"0.60";"5.95";"9.65";"False";"CHEMBL3801668";"Agonist activity at human D2 receptor transfected in HEK293T cells by BRET based G0 activation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"CHEMBL3706569";""
"CHEMBL1765633";"";"0";"430.60";"0";"4.79";"(S)-5a";"CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)[C@H]1CCn2nccc2C1";"EC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1769075";"Agonist activity at human dopamine D2long receptor expressed in HEK293 cells co-expressing Galphao1 assessed as incorporation of [35S]GTPgammaS into Galphao1 after 30 mins by scintillation counting";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765048";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL3394276";"";"0";"445.49";"0";"1.22";"40a";"Nc1nc(N2CCN(CCc3cccc4c3CC(=O)N4)CC2)nc2nc(-c3ccco3)nn12";"EC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3396204";"Agonist activity at human dopamine D2L receptor expressed in CHO cell membranes incubated for 1 hr by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3392981";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308072";""
"CHEMBL240773";"QUINPIROLE";"0";"219.33";"0";"2.00";"quinpirole";"CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21";"EC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"32.28";"0.60";"5.08";"22.18";"False";"CHEMBL3578969";"Agonist activity at ARMS2-PK2-tagged human dopamine D2S receptor expressed in HEK293 cells co-expressing (EA)-tagged beta arrestin fusion protein assessed as recruitment of beta-arrestin-2 after 5 hrs by chemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3576771";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL2397389";"";"0";"414.59";"1";"5.69";"(R)-1";"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1";"EC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"16.53";"0.30";"1.16";"21.19";"False";"CHEMBL3578969";"Agonist activity at ARMS2-PK2-tagged human dopamine D2S receptor expressed in HEK293 cells co-expressing (EA)-tagged beta arrestin fusion protein assessed as recruitment of beta-arrestin-2 after 5 hrs by chemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3576771";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL240773";"QUINPIROLE";"0";"219.33";"0";"2.00";"quinpirole";"CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21";"EC50";"'='";"2.2";"nM";"8.66";"";"";"UO_0000065";"39.47";"0.74";"6.66";"27.12";"False";"CHEMBL672520";"Effective concentration was determined as thymidine uptake in CHO-L6 cells transfected with the rat Dopamine receptor D2L by mitogenesis assay (intrinsic activity)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-L6";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133651";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL213246";"";"0";"337.47";"0";"3.64";"41a";"CCO/N=C(\CCN1CCN(c2ccccc2)CC1)c1ccccc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL212847";"";"0";"335.41";"0";"2.34";"23a";"N#Cc1cccc(/C(CCN2CCN(c3ccccn3)CC2)=N/O)c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL599636";"";"0";"460.62";"0";"4.04";"(-)-19b";"CCCN(CCN1CCN(c2ccnc3c(O)cccc23)CC1)C1CCc2c(O)cccc2C1";"EC50";"'='";"4.51";"nM";"8.35";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1065657";"Agonist activity at human dopamine D2 receptor expressed in CHO cells by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157569";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308072";""
"CHEMBL4091507";"";"0";"447.54";"0";"3.25";"17a";"O=c1ccc2c(N3CCCN(CCCCOc4ccn5nccc5c4)CC3)ccc(O)c2[nH]1";"EC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"14.75";"0.27";"3.35";"7.67";"False";"CHEMBL4015821";"Partial agonist activity at human D2SR expressed in HEK293T cells co-expressing (EA)beta-arrestin2 and GRK2 assessed as induction of beta-arrestin2 recruitment after 5 hrs by chemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014323";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";""
"CHEMBL59";"DOPAMINE";"4";"153.18";"0";"0.60";"Dopamine";"NCCc1ccc(O)c(O)c1";"EC50";"'='";"0.78";"nM";"9.11";"";"";"UO_0000065";"59.46";"1.13";"8.51";"13.70";"True";"CHEMBL4010175";"Agonist activity at N-terminal flag-tagged D2S receptor (unknown origin) expressed in HEK293 cells coexpressing renilla luciferase 2-tagged GalphaoB after 10 mins by BRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL2152747";"";"0";"466.66";"0";"3.23";"(-)-40";"CCCN(CCN1CCN(C(=O)c2cc3ccccc3[nH]2)CC1)[C@H]1CCc2nc(N)sc2C1";"EC50";"'='";"114.0";"nM";"6.94";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2157074";"Agonist activity at human cloned dopamine D2 receptor expressed in CHO cells by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2151002";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL4441636";"";"0";"373.50";"0";"2.99";"34";"CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCc3cc4c(cc3C2)OCO4)CC1";"EC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"21.42";"0.40";"5.01";"14.80";"False";"CHEMBL4394473";"Partial agonist activity at human Gi/o-coupled D2R expressed in HEK293T cells assessed as inhibition of isoproterenol-induced cAMP accumulation preincubated for 15 mins followed by isoproterenol-stimulation and measured by Glosensor-based luminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4473178";"";"0";"408.38";"0";"4.03";"40";"CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCc3cccc(Br)c3C2)CC1";"EC50";"'='";"129.0";"nM";"6.89";"";"";"UO_0000065";"16.87";"0.38";"2.86";"19.36";"False";"CHEMBL4394473";"Partial agonist activity at human Gi/o-coupled D2R expressed in HEK293T cells assessed as inhibition of isoproterenol-induced cAMP accumulation preincubated for 15 mins followed by isoproterenol-stimulation and measured by Glosensor-based luminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL161792";"";"0";"446.38";"1";"5.23";"29";"Oc1ccc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2n1";"EC50";"'='";"6.3";"nM";"8.20";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2168916";"Agonist activity at D2L receptor in human HTLA cells assessed as beta arrestin recruitment at 6 uM after 18 hrs by luminescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HTLA";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163335";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL160921";"";"0";"404.51";"0";"3.42";"8";"N#Cc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1";"EC50";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2168916";"Agonist activity at D2L receptor in human HTLA cells assessed as beta arrestin recruitment at 6 uM after 18 hrs by luminescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HTLA";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163335";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL3394262";"";"0";"820.92";"2";"4.08";"24";"CCCN(CCCNc1nc(Oc2ccc(CCNc3nc(N)n4nc(-c5ccco5)nc4n3)cc2)nc(N2CCOCC2)n1)CCc1cccc2c1CC(=O)N2.O=CO";"EC50";"'='";"311.0";"nM";"6.51";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3396204";"Agonist activity at human dopamine D2L receptor expressed in CHO cell membranes incubated for 1 hr by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3392981";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308072";""
"CHEMBL59";"DOPAMINE";"4";"153.18";"0";"0.60";"DA";"NCCc1ccc(O)c(O)c1";"EC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"44.19";"0.84";"6.17";"10.18";"False";"CHEMBL673021";"Adenylate cyclase assay carried out in LTK cells transfected with human Dopamine receptor D2";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"LTK";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128531";"1";"Scientific Literature";"J. Med. Chem.";"1995";"None";""
"CHEMBL246644";"";"0";"341.84";"0";"4.57";"34";"OC1(c2ccc(Cl)cc2)CCN(Cc2coc3ccccc23)CC1";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL902499";"Antagonist activity at human dopamine D2 receptor expressed in CHO cells assessed as inhibition of quinpirole stimulated mitogenesis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138415";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL430198";"";"0";"339.87";"0";"4.27";"19";"NC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL902499";"Antagonist activity at human dopamine D2 receptor expressed in CHO cells assessed as inhibition of quinpirole stimulated mitogenesis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138415";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL285755";"";"0";"247.38";"0";"3.37";"7-OH-DPAT";"CCCN(CCC)C1CCc2ccc(O)cc2C1";"EC50";"'='";"39.8";"nM";"7.40";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL971390";"Agonist activity at human dopamine D2L receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150260";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308072";""
"CHEMBL1188090";"";"0";"283.42";"0";"3.89";"1, RU24213";"CCCN(CCc1ccccc1)CCc1cccc(O)c1";"EC50";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2182831";"Agonist activity at human dopamine D2 receptor expressed in CHOp cells assessed as stimulation of mitogenesis incubated for 24 hrs by [3H]thymidine incorporation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHOp";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177058";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL2165139";"";"0";"422.38";"1";"5.19";"37";"Clc1cccc(N2CCN(CCCOc3ccc4scnc4c3)CC2)c1Cl";"EC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL2169116";"Agonist activity at human D2L receptor expressed in HEK293T cells coexpressing Gi subunit assessed as inhibition of isoproterenol-stimulated cAMP production by luminescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163335";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3706569";""
"CHEMBL3613874";"";"0";"484.39";"0";"3.79";"44";"O=Cc1cnn2ccc(-n3cc(CCCN4CCN(c5cccc(Cl)c5Cl)CC4)nn3)cc12";"EC50";"'='";"190.55";"nM";"6.72";"";"";"UO_0000065";"13.87";"0.28";"2.93";"9.39";"False";"CHEMBL3614297";"Activity at dopamine D2S receptor (unknown origin) expressed in HEK293 cell membranes co-expressing Galpha protein subunit Galphao1 by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3612016";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL2165127";"";"0";"434.37";"0";"4.47";"21";"O=C1CCc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1";"EC50";"'='";"251.0";"nM";"6.60";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2169116";"Agonist activity at human D2L receptor expressed in HEK293T cells coexpressing Gi subunit assessed as inhibition of isoproterenol-stimulated cAMP production by luminescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163335";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3706569";""
"CHEMBL3216146";"";"0";"473.44";"0";"4.51";"22";"CN(C)c1ccc(Cc2ccc3c4c2-c2c(ccc(O)c2O)C[C@H]4N(C)CC3)cc1.Cl.Cl";"EC50";"'='";"174.0";"nM";"6.76";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2399857";"Agonist activity at human dopamine D2L receptor expressed in HEK293 cells assessed as forskolin-stimulated cAMP accumulation after 15 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396540";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"CHEMBL3307715";""
"CHEMBL26181";"";"0";"273.38";"0";"2.79";"14a";"CCCN(CCC)[C@@H]1Cc2cccc3nc(O)n(c23)C1";"EC50";"'='";"2.53";"nM";"8.60";"";"";"UO_0000065";"31.45";"0.59";"5.81";"20.82";"False";"CHEMBL3801668";"Agonist activity at human D2 receptor transfected in HEK293T cells by BRET based G0 activation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"CHEMBL3706569";""
"CHEMBL3800165";"";"0";"273.38";"0";"2.14";"14b";"CCCN[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1";"EC50";"'='";"68.0";"nM";"7.17";"";"";"UO_0000065";"26.22";"0.49";"5.03";"18.40";"False";"CHEMBL3801668";"Agonist activity at human D2 receptor transfected in HEK293T cells by BRET based G0 activation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"CHEMBL3706569";""
"CHEMBL3798179";"";"0";"417.51";"0";"2.88";"22b";"CN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1";"EC50";"'='";"22.7";"nM";"7.64";"";"";"UO_0000065";"18.31";"0.34";"4.76";"8.90";"False";"CHEMBL3801668";"Agonist activity at human D2 receptor transfected in HEK293T cells by BRET based G0 activation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"CHEMBL3706569";""
"CHEMBL3798179";"";"0";"417.51";"0";"2.88";"22b";"CN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1";"EC50";"'='";"27.7";"nM";"7.56";"";"";"UO_0000065";"18.10";"0.33";"4.68";"8.80";"False";"CHEMBL3801672";"Agonist activity at recombinant human D2 receptor expressing in CHOp cells assessed as receptor mediated stimulation of mitogenesis measured as [3H]thymidine incorporation after 24 hrs by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHOp";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"None";""
"CHEMBL3798803";"";"0";"259.35";"0";"1.75";"18b";"CCCCn1c(=O)n2c3c(cccc31)C[C@@H](NC)C2";"EC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"27.30";"0.51";"5.33";"18.17";"False";"CHEMBL3801672";"Agonist activity at recombinant human D2 receptor expressing in CHOp cells assessed as receptor mediated stimulation of mitogenesis measured as [3H]thymidine incorporation after 24 hrs by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHOp";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"None";""
"CHEMBL419792";"SUMANIROLE";"3";"203.25";"0";"0.47";"1; Sumanirole; U-95666E; PNU-95666E";"CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1";"EC50";"'='";"64.7";"nM";"7.19";"";"";"UO_0000065";"35.37";"0.65";"6.72";"14.43";"False";"CHEMBL3801672";"Agonist activity at recombinant human D2 receptor expressing in CHOp cells assessed as receptor mediated stimulation of mitogenesis measured as [3H]thymidine incorporation after 24 hrs by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHOp";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797097";"1";"Scientific Literature";"J. Med. Chem.";"2016";"None";""
"CHEMBL4590026";"";"0";"343.52";"0";"3.57";"39";"Cc1cccc2c1CN(CC[C@H]1CC[C@H](NC(=O)N(C)C)CC1)CC2";"EC50";"'='";"67.61";"nM";"7.17";"";"";"UO_0000065";"20.87";"0.39";"3.60";"20.15";"False";"CHEMBL4394473";"Partial agonist activity at human Gi/o-coupled D2R expressed in HEK293T cells assessed as inhibition of isoproterenol-induced cAMP accumulation preincubated for 15 mins followed by isoproterenol-stimulation and measured by Glosensor-based luminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL3742140";"";"0";"584.07";"0";"3.37";"(-)-36; D-635";"N#CCN(CCN1CCN(c2ccc3cc[nH]c3c2Cl)CC1)[C@H]1CCc2nc(N)sc2C1.O=C(O)C(F)(F)F";"EC50";"'='";"39.4";"nM";"7.41";"";"";"UO_0000065";"15.75";"0.32";"4.03";"8.39";"False";"CHEMBL3745243";"Agonist activity at human D2 receptor expressed in CHO cells by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3739358";"1";"Scientific Literature";"J. Med. Chem.";"2015";"CHEMBL3308072";""
"CHEMBL4470060";"";"0";"387.36";"0";"3.56";"15";"CN(C)C(=O)NCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1";"EC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"21.05";"0.45";"4.59";"21.01";"False";"CHEMBL4394473";"Partial agonist activity at human Gi/o-coupled D2R expressed in HEK293T cells assessed as inhibition of isoproterenol-induced cAMP accumulation preincubated for 15 mins followed by isoproterenol-stimulation and measured by Glosensor-based luminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4564115";"";"0";"384.48";"0";"2.93";"46";"COc1ccc(OCC(C)N2CCN(C(=O)c3ccc(OC)cc3)CC2)cc1";"EC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4406526";"Agonist activity at human D2R expressed in CHOK1 cells assessed as induction of beta-arrestin recruitment measured after 90 mins by beta-galactosidase based PathHunter assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402608";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4471242";"";"0";"393.49";"0";"3.06";"109";"COc1ccc(OCCN2CCN(CC(=O)c3cc4ccccc4[nH]3)CC2)cc1";"EC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4406526";"Agonist activity at human D2R expressed in CHOK1 cells assessed as induction of beta-arrestin recruitment measured after 90 mins by beta-galactosidase based PathHunter assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402608";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
